kodea,Udalerria,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
1010,Ayala/Aiara,22.99,20.96,36.09,29.71,25.58,27.6,35.53,31.89,38.64,36.29,27.31,27.38,23.61,30.25,34.82
20017,Azkoitia,15.29,16.93,22.29,17.79,19.96,25.75,16.76,21.78,24.23,16.55,12.98,14.37,14.2,15.64,15.8
20018,Azpeitia,16.96,20.17,22.83,20.3,22.69,21.28,23.15,23.94,24.34,17.79,16.52,17.87,17.33,20.47,14.79
1049,A–ana,75.95,37.97,44.3,6.21,25,53.89,89.82,29.07,62.5,50.28,33.52,10.99,43.48,21.62,59.46
48012,Bakio,53.39,54.92,62.76,61.49,72.46,56.74,52.08,65.04,67.31,59.8,49.91,49.26,49.78,64.21,66.95
20904,Baliarrain,0,6.94,20.55,0,0,0,8,49.59,8.7,,10.42,21.51,10.42,10.1,0
48090,Balmaseda,38.98,32.09,33.51,36.47,36.27,35.38,40.99,34.52,30.61,35.71,35.99,40.2,30.08,27.03,24.01
48013,Barakaldo,49.08,50.88,53.19,57.27,57.14,50.72,49.9,50.94,56.4,54.8,51.95,44.86,46.37,37.66,33.71
48014,Barrika,57.74,40.03,65.97,44.86,78.12,53.54,52.88,68.58,68.12,66.62,49.61,56.12,44.99,40.46,41.24
1013,Barrundia,35.52,41.07,43.14,48.35,41.3,50.72,76.07,63.88,47.03,65.06,30.12,40.89,43.2,28.68,54.79
48015,Basauri,31.25,32.57,35.87,38.71,42.27,40.34,42.57,34.84,37.34,37.56,35.17,35.66,35.68,33.63,30.26
1011,Ba–os de Ebro/Ma–ueta,26.06,22.8,48.39,59.75,33.95,43.61,46.73,45.87,33.23,30.81,25.21,24.86,30.9,23.53,20.53
20019,Beasain,36.76,40.28,44.97,44.33,48.11,58.26,46.14,47.45,46.11,38.73,32.37,39.51,35.14,29.49,24.87
48092,Bedia,46.47,63.89,54.63,58.31,101.17,61.29,89.89,101.24,36.31,72.3,43.79,63.07,43.7,48.93,73.32
20020,Beizama,12.12,6.06,12.05,24.1,29.59,33.52,61.45,32.79,10.99,33.15,22.1,17.05,0,11.76,11.98
20021,Belauntza,28.93,20.66,106.12,51.18,30.19,38.73,70.42,51.37,51.02,47.92,47.92,29.32,40.27,68.26,54.24
48016,Berango,39.18,26.07,33.01,29.09,34.89,55.34,83.09,52.06,54.14,53.93,49.53,37.75,45.15,39.49,51.32
1014,Berantevilla,22.42,38.12,48.03,65.68,35.56,43.12,39.01,32.19,21.32,29.08,64.88,27.03,28.89,39.3,36.88
20022,Berastegi,32.44,19.46,26.17,12.28,19.77,25.42,14.12,20.83,9.6,15.73,26.55,22.93,12.01,14.07,22.27
20074,Bergara,30.58,25.68,32.85,29.79,36.02,34.42,37.42,33.41,33.06,25.16,25.77,20.89,20.58,21.75,16.89
48017,Bermeo,27.29,32.76,33.96,31.11,31.45,30.04,27.64,26.51,28.44,27.25,22.86,20.16,21.57,18.21,19.88
1016,Bernedo,39.84,29.88,27.29,14.93,32.37,21.16,33.51,26.32,45.22,20.51,18.8,15.65,12.32,19.93,14.79
48018,Berriatua,23.62,28.5,36.98,30.13,20.11,29.46,41.4,36.19,29.3,33.41,29.44,24.9,25.88,28.85,27.62
48019,Berriz,24.04,24.25,22.35,23.63,35.57,31.05,26.53,33.83,30.5,36.3,23.57,30.95,26.91,27.98,32.08
20023,Berrobi,10.38,25.95,38,8.68,14.13,17.45,29.67,22.53,20.41,3.4,8.5,23.81,20.91,10.6,15.85
20024,Bidania-Goiatz,1.95,13.67,13.44,5.71,15.24,24.3,5.61,13.16,21.11,10.25,14.34,21.1,17.35,20.09,9.17
48020,Bilbao,61.05,60.66,57.66,56.66,58.34,60.63,54.3,56.13,61.19,58.85,55.86,62.39,59.42,61.89,59.48
48021,Busturia,30.58,47.96,28.69,43.79,36.36,32.94,32.94,29.96,43.33,43.5,29,41.21,30.34,30.02,31.64
1017,Campezo/Kanpezu,30.36,24.67,20.68,26.93,18.08,24.78,32.74,22.22,12.48,20.78,22.58,20.16,15.76,10.15,10.24
