kodea,Udalerria,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
20059,O–ati,11.43,11.78,9.64,9.58,13.25,15.96,11.45,12.19,12.81,13.63,10.29,14.79,12.31,12.87,10.71
20064,Pasaia,27.92,20.25,25.08,21.73,22.41,19.54,20.11,18.92,18.83,19.7,15.4,16.12,14.81,15.1,14.83
1044,Pe–acerrada-Urizaharra,33.71,33.71,22.22,29.63,22.3,14.08,59.86,30.82,47.78,15.27,45.8,23.35,30.89,76.92,7.58
48077,Plentzia,54.07,63.05,47.91,63.81,64.89,67.24,72.11,64.62,38.86,44.24,52.5,41.96,50.39,38.5,59.81
48078,Portugalete,33.97,33.1,36.01,38.71,39.05,37.66,35.67,33.93,36.91,33.5,26.17,19.28,21.68,21.39,20.56
1047,Ribera Baja/Erribera Beitia,27.13,37.39,39.82,61.81,44.58,53.67,71.81,55,71.94,66.84,75.52,60.14,51.55,40.96,39.52
1051,Salvatierra/Agurain,32.37,33.57,31.69,39.65,44.03,30.62,39.75,41.22,35.79,36.08,32.09,32.93,31.43,35.79,22.6
1052,Samaniego,22.36,22.36,23.41,17.12,19.48,23.95,44.91,27.03,37.04,21.81,28.04,48.23,19.42,28.57,18.87
1053,San Mill‡n/Donemiliaga,42.08,37.87,40.28,53.87,36.73,47.09,55.4,41.38,55.71,42.47,35.62,42.47,20.86,37.82,24.43
48082,Santurtzi,26.86,28.39,27.19,27.72,26.58,24.37,21.21,25.36,27.02,25.95,28.29,20.19,19.73,20.68,20.62
20070,Segura,18.44,12.98,12.89,18.94,16.93,10.11,10.11,14.27,21.08,23,31.16,13.23,8.06,11.36,8.1
48084,Sestao,39.47,38.53,35.39,46.65,55.74,56.24,43.61,42.93,55.06,46.6,49.06,43.78,42.73,41.3,34.9
48904,Sondika,43.83,35.82,41.75,40.77,38.95,53.29,55.27,62.11,64.52,59.22,49.35,43.07,50.17,41.68,44.37
48085,Sopela,27.94,24.96,27.2,33.5,37.18,36.4,34.29,34.73,36.89,46.29,46.87,31.69,41.49,42.42,49.95
48086,Sopuerta,32.36,39.68,47.36,48.43,42.43,40.06,38.91,25.29,39.95,38.4,37.16,28.46,26.98,23.14,19.12
20065,Soraluze-Placencia de las Armas,24.73,16.31,22.55,16.12,17.23,21.06,21.31,29.76,27.28,20.51,17.55,10.78,15.28,10.35,11.3
48076,Sukarrieta,97.83,111.41,134.77,96.15,106.15,120.79,140.45,87.82,136.75,100.29,100.29,110.17,61.97,100.56,101.45
20071,Tolosa,50.93,49.27,57.3,62.18,60.89,51.68,42.76,44.21,46.98,47.34,40.75,39.59,32.54,33.06,33.3
48087,Trucios-Turtzioz,50.98,27.45,35.16,21.19,30.19,31.6,14.87,37.04,42.83,29.25,31.08,31.72,24.81,30.36,19.01
48088,Ubide,11.3,0,11.17,0,33.71,5.43,59.78,17.05,36.59,31.85,57.32,25.64,37.97,43.75,30.12
48065,Ugao-Miraballes,24.74,14.07,16.76,15.59,22,17,22.67,25.15,29.46,27.89,20.92,25.83,23.22,28.26,28.86
48089,Urduliz,36.22,26.92,31.16,40,36.88,39.16,36.38,42.89,52.37,32.28,35.63,29.35,33.54,26.49,34.4
48074,Urdu–a/Ordu–a,40.73,33.5,44.79,43.32,34.03,35.78,44.73,50.95,38.22,40.33,46.33,30.38,25.02,29.89,42.09
1054,Urkabustaiz,26.22,19.48,10.61,25.6,24.83,18.68,39.61,33.13,32.41,35.65,30.43,34.7,22.46,34.73,26.65
20072,Urnieta,25.94,22.9,18.58,26.05,21.75,30.03,26.64,31.03,31.27,32.82,26.36,27.91,27.59,27.8,24.24
20077,Urretxu,19.57,26.78,45.36,27.98,29.69,40.99,48.06,32.55,35.33,29.47,25.34,23.63,24.89,19.72,25.2
20073,Usurbil,37.71,42.08,37.32,39.99,41.04,45.42,41.8,49.19,53.8,60.98,48.99,50.17,44.27,45.1,38.41
1055,Valdegov’a/Gaubea,34.79,31.81,41.42,28.27,36.5,48.01,45.24,31.76,50.82,26.55,35.4,40.22,26.1,34.97,43.77
48080,Valle de Tr‡paga-Trapagaran,46.95,46.7,58.95,64.9,55.96,52.51,49.64,51.67,47.34,53.03,44.98,51.04,50.78,39.7,40.57
20075,Villabona,17.5,26.51,24.84,23.66,22.77,22.67,27.61,32.35,34.81,30.58,20.85,19.14,18.46,17.58,17.06
1057,Villabuena de çlava/Eskuernaga,27.03,54.05,23.41,6.47,19.29,31.06,18.63,6.23,25.24,22.15,18.99,25,24.69,6.21,12.16
1059,Vitoria-Gasteiz,37.99,37.56,39.85,39.7,41.79,44.9,46.27,48.96,48.45,44.69,37.45,35.04,33.81,35.69,33.86
1060,YŽcora/Iekora,3.7,29.63,22.39,15.27,34.35,27.97,10.49,6.97,20.27,6.76,23.65,17.24,7.07,14.65,3.83
48095,Zaldibar,33.42,26.28,22.11,29.71,26.87,27.87,36.07,41.78,37.98,42.27,32.3,23.94,26.43,19.06,24.62
20078,Zaldibia,11.41,17.12,22.84,19.13,19.44,16.45,28.95,35.74,27.06,20.22,27.63,18.56,16.42,8.79,10.03
1061,Zalduondo,26.46,26.46,20.83,36.65,0,20.94,41.88,20.51,21.16,27.03,16.22,22.1,52.02,30.12,12.99
48096,Zalla,33.57,31.19,33.57,39.27,37.55,42.51,32.34,33.47,39.12,28.43,31.14,35.32,42.92,39.89,40.11
1062,Zambrana,99.74,40.92,22.39,26.7,28.57,67.15,47.96,71.25,36.84,47.35,64.07,91.41,27.4,41.21,42.02
48905,Zamudio,61.07,72.18,60.2,75.29,67.93,67.69,73.2,77.47,80.17,72.51,68.17,77.28,83.86,68.92,72
48097,Zaratamo,36.76,40.5,50.4,59.4,51.48,56.46,52.25,49.76,66.2,71.76,51.34,41.34,55.56,40.95,49.73
20079,Zarautz,37.5,32.4,30.93,33.74,41.31,43.27,38.9,44.36,43.37,41.04,37.37,37.99,39.84,34.98,31.62
48024,Zeanuri,35.28,33.68,27.89,22.94,42.97,47.51,59.77,34.62,45.59,21.54,16.92,22.17,21.26,21.2,23.48
48025,Zeberio,35.15,43.48,28.6,24.93,34.1,24.32,43.97,32.02,35,24.25,17.72,23.56,23.1,21.44,20.57
20025,Zegama,20.98,27.54,31,13.8,6.51,19.32,21.25,25.29,20.52,18.17,21.66,22.5,21.12,7.66,6.9
20026,Zerain,35.71,31.75,47.06,19.31,15.21,45.98,15.33,39.53,32.52,20.33,28.46,20.33,4.1,12.2,7.97
20027,Zestoa,24.7,25.24,29,35.82,27.1,28.16,28.16,37.22,37.59,34.23,15.21,22.61,25.11,28.46,24.25
48913,Zierbena,99.13,93.1,118.04,129.01,120.89,125.43,133.01,111.35,171.22,103.4,92.08,64.29,75.6,53.38,67.73
1018,Zigoitia,59.53,75.56,58.42,64.99,70.9,78.83,90.33,120.33,120.22,103.8,101.87,107.53,114.86,138.01,140.5
48915,Ziortza-Bolibar,30.52,25.82,34.64,23.04,27.78,14.49,31.4,26.89,29.85,35.44,17.72,17.99,15.62,18.17,20.07
20028,Zizurkil,26.12,21.1,26.3,22.97,21.7,32.24,37.84,26.96,36.66,29.37,26.5,18.05,15.47,19.35,19.51
1063,Zuia,36.43,33.43,30.01,31.19,26.78,37.01,35.77,35.23,26.29,35.77,34.09,35.3,27.68,33.67,28.72
20081,Zumaia,28.96,22.2,18.74,27.34,25.72,33.61,30.56,29.26,40.6,23.24,19.81,18.08,19.12,17.89,22.92
20080,Zumarraga,28.23,40.57,41.53,32.71,37.02,37.44,37.64,32.73,29.29,31.42,25.76,24.53,22.04,19.42,19.12
